INFO 2023-10-31 08:17:25,369 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1698461229.869878
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1698461229.681679
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Python311\Lib\asyncio\format_helpers.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1698461229.8855033
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1698461222.2204156
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Python311\Lib\contextvars.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Python311\Lib\getpass.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Python311\Lib\json\__init__.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1698461229.6515257
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\compat.py first seen with mtime 1698461244.543322
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1698461230.090217
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1698461244.555598
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1698461229.712922
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1698461229.681679
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Python311\Lib\re\_casefix.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1698461244.9635057
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1698461224.60755
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1698461244.9635057
DEBUG 2023-10-31 08:17:25,715 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1698461225.4100711
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Python311\DLLs\_uuid.pyd first seen with mtime 1666607686.0
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1698461229.8855033
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\rocket_service\__init__.py first seen with mtime 1698461297.1347418
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Python311\Lib\xml\dom\domreg.py first seen with mtime 1666607650.0
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1698461229.712922
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\simple_history\templatetags\__init__.py first seen with mtime 1698461257.8676093
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1698461226.8090897
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Python311\Lib\concurrent\__init__.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\status.py first seen with mtime 1698461244.5868723
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1698461230.1889133
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1698461230.151033
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Python311\Lib\_compression.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Python311\Lib\token.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\manage.py first seen with mtime 1698461297.0521681
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\signing.py first seen with mtime 1698461229.6660326
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Python311\Lib\xml\dom\NodeFilter.py first seen with mtime 1666607650.0
DEBUG 2023-10-31 08:17:25,731 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1698461230.101986
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\simple_history\templatetags\simple_history_admin_list.py first seen with mtime 1698461257.8676093
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\_markupbase.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1698461228.2882779
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\logging\config.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1698461229.8542666
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\asyncio\staggered.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1698461230.1372669
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1698461244.9635057
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\logging\handlers.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\string.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\email\charset.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1698461244.526035
DEBUG 2023-10-31 08:17:25,740 autoreload File C:\Python311\Lib\json\scanner.py first seen with mtime 1666607648.0
